,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall,train_nan_percent,val_nan_percent
0,"[100, 50, 20]",0.01,0.01,True,True,100,0.95,500,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7720796176654628,0.7726284934456673,0.7959086269247952,0.7189625658261825,0.8934851067329141,0.0,0.0
1,"[100, 50, 20]",0.01,0.01,True,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.800575022731743,0.800777434396419,0.8126634676186691,0.7660875428308225,0.8679339252035598,0.0,0.0
2,"[100, 50, 20]",0.01,0.01,False,True,100,0.95,500,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8341527526180819,0.8345157246783671,0.8418766895319465,0.8069141642370171,0.8845588347579396,0.0,0.0
3,"[100, 50, 20]",0.01,0.01,False,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8462920994929777,0.846418803130043,0.8550111592657388,0.8090955977544269,0.9071019733996082,0.0,0.0
4,"[100, 50, 20]",0.0001,0.01,True,True,100,0.95,500,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8504907380763382,0.8505938543069025,0.8560366305403451,0.8225762982717415,0.893303471009704,0.0,0.0
5,"[100, 50, 20]",0.0001,0.01,True,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8780655791419066,0.8782692213412737,0.8853369807930248,0.8367055503384563,0.9421945257466025,0.0,0.0
6,"[100, 50, 20]",0.0001,0.01,False,True,100,0.95,500,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9196656215776228,0.9197773455944835,0.9214659365465694,0.8963899692983237,0.9484249266008042,0.0,0.0
7,"[100, 50, 20]",0.0001,0.01,False,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9314591361421334,0.9315188308347366,0.9319461816379573,0.9181139565974419,0.946657490810596,0.0,0.0
8,"[80, 50, 60]",0.01,0.01,True,True,100,0.95,500,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8239913044335465,0.8240970602273215,0.8307521654015625,0.7974555749700178,0.8677843043607891,0.0,0.0
9,"[80, 50, 60]",0.01,0.01,True,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8340097949519336,0.8342126344732053,0.8378088069924552,0.8161609512044417,0.8630323425420219,0.0,0.0
10,"[80, 50, 60]",0.01,0.01,False,True,100,0.95,500,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8616281232382018,0.8616150281090664,0.8633496562374644,0.8499981616901977,0.8780291458166447,0.0,0.0
11,"[80, 50, 60]",0.01,0.01,False,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.89169309588735,0.8917891735818856,0.8948530060231634,0.8713086899296008,0.9212590454765962,0.0,0.0
12,"[80, 50, 60]",0.0001,0.01,True,True,100,0.95,500,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8771096864685927,0.8772463332804291,0.8821885863861096,0.8447935693443551,0.9232144797687039,0.0,0.0
13,"[80, 50, 60]",0.0001,0.01,True,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9038660157979159,0.9039807878737222,0.9063183629575174,0.8807970458403446,0.9334233253451579,0.0,0.0
14,"[80, 50, 60]",0.0001,0.01,False,True,100,0.95,500,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9349561959196933,0.935095408827572,0.9366124534711837,0.9110576027345939,0.963839660673542,0.0,0.0
15,"[80, 50, 60]",0.0001,0.01,False,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9371164085864727,0.9373506065109524,0.938579764461385,0.9183031445461649,0.9607903214014865,0.0,0.0
