,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall,train_nan_percent,val_nan_percent
0,"[100, 50, 20]",0.01,0.01,True,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8283000489500463,0.5197029814667963,0.1366004389245595,0.4454016956825946,0.08464950052447093,0.0,0.0
1,"[100, 50, 20]",0.01,0.01,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8444248864012817,0.5055858433892697,0.06319562346727033,0.167989417989418,0.02783444198078345,0.0,0.0
2,"[100, 50, 20]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8441845861743313,0.49980648510291814,0.032128514056224904,0.05442176870748299,0.013675213675213677,0.0,0.0
3,"[100, 50, 20]",0.01,0.01,True,True,100,0.95,70,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8540477732673416,0.5,,,0.0,0.0,0.0
4,"[100, 50, 20]",0.01,0.01,False,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8485993199734319,0.5053910768932853,0.03784252735573672,0.2738437001594896,0.020839379641179306,0.0,0.0
5,"[100, 50, 20]",0.01,0.01,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8493927392412907,0.508263412671391,0.047360349702767014,0.23440476190476192,0.026491697753833678,0.0,0.0
6,"[100, 50, 20]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8436644301275174,0.5096770824024539,0.06694042075530461,0.2886244325065162,0.03814359157953759,0.0,0.0
7,"[100, 50, 20]",0.01,0.01,False,True,100,0.95,70,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8431376814818844,0.5199813193719036,0.08628757943718575,0.2574358974358974,0.06261708676579622,0.0,0.0
8,"[100, 50, 20]",0.01,0.001,True,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8483524271476627,0.5085918283489989,0.061284405602500786,0.2574404761904762,0.02871333686867667,0.0,0.0
9,"[100, 50, 20]",0.01,0.001,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7870369729423263,0.5191767142016606,0.12360072867935956,0.1860059552110744,0.14389480810508515,0.0,0.0
10,"[100, 50, 20]",0.01,0.001,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8310194959628573,0.5076913530977875,0.07206928824560907,0.308858592263792,0.0521309921736159,0.0,0.0
11,"[100, 50, 20]",0.01,0.001,True,True,100,0.95,70,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8305227436418505,0.5193221006238347,0.1022398976902322,0.26508244888169336,0.08000902488707366,0.0,0.0
12,"[100, 50, 20]",0.01,0.001,False,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8301667433056279,0.5470649139612076,0.18448396331110964,0.34372707518470225,0.14610698900540248,0.0,0.0
13,"[100, 50, 20]",0.01,0.001,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7826977243997028,0.5351334364812568,0.1887573802923101,0.20893627946817292,0.18609162124672426,0.0,0.0
14,"[100, 50, 20]",0.01,0.001,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7613624264719212,0.5581817172663093,0.22388433054669576,0.25698988909868403,0.2688693252036847,0.0,0.0
15,"[100, 50, 20]",0.01,0.001,False,True,100,0.95,70,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8094593904153502,0.5653949438321186,0.227051221572978,0.32921911160880923,0.21948619278953166,0.0,0.0
16,"[100, 50, 20]",0.0001,0.01,True,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8527935313420387,0.5015391417161328,0.026190476190476195,0.5555555555555556,0.005438165438165438,0.0,0.0
17,"[100, 50, 20]",0.0001,0.01,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8530074611737135,0.5007963601628374,0.016680509413067555,0.3333333333333333,0.0034441980783444194,0.0,0.0
18,"[100, 50, 20]",0.0001,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8433845743076536,0.5111587921111795,0.08632425742574257,0.2235294117647059,0.04256827183656452,0.0,0.0
19,"[100, 50, 20]",0.0001,0.01,True,True,100,0.95,70,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8441779935755125,0.5139422082817298,0.07031603260356031,0.34547619047619044,0.04724111903368357,0.0,0.0
20,"[100, 50, 20]",0.0001,0.01,False,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8452380834655973,0.509177702527368,0.059489485448902965,0.28236500341763493,0.03484670464542593,0.0,0.0
21,"[100, 50, 20]",0.0001,0.01,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8458241655006008,0.5053432584087003,0.04304326579322336,0.2019047619047619,0.024560559194705536,0.0,0.0
22,"[100, 50, 20]",0.0001,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8470718148270844,0.5087992294298577,0.05568676407205906,0.2558500323206206,0.031256789793375164,0.0,0.0
23,"[100, 50, 20]",0.0001,0.01,False,True,100,0.95,70,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8506667589630503,0.5192485859927246,0.09013463030265918,0.39563909774436096,0.05122523645374699,0.0,0.0
24,"[100, 50, 20]",0.0001,0.001,True,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.821709427910756,0.5321659918962931,0.1411362883910961,0.3134349563232083,0.12328496669960083,0.0,0.0
25,"[100, 50, 20]",0.0001,0.001,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8431376814818844,0.5071084770533101,0.06781996460621031,0.2663275733927908,0.03288720148772244,0.0,0.0
26,"[100, 50, 20]",0.0001,0.001,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7961373963519854,0.5064460094520177,0.08505905139833711,0.1328637627432808,0.09694641255616866,0.0,0.0
27,"[100, 50, 20]",0.0001,0.001,True,True,100,0.95,70,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8244120637965789,0.525387586541348,0.13334502862266223,0.23229622680842194,0.1037637527573592,0.0,0.0
28,"[100, 50, 20]",0.0001,0.001,False,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7890318933449363,0.5542843422341683,0.21316366458097474,0.235301986855615,0.2209626620471991,0.0,0.0
29,"[100, 50, 20]",0.0001,0.001,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7972393492445706,0.5553666854778065,0.23177732457890216,0.2687798996296533,0.2135411939579593,0.0,0.0
30,"[100, 50, 20]",0.0001,0.001,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7854801307312347,0.532583713725617,0.18856808383124785,0.23623955185275936,0.17447220092259164,0.0,0.0
31,"[100, 50, 20]",0.0001,0.001,False,True,100,0.95,70,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7196444611456948,0.5443089736820841,0.225087644409036,0.1980409390048167,0.29775017649988045,0.0,0.0
32,"[80, 50, 60]",0.01,0.01,True,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8530206463713513,0.49940471444896223,0.0,0.0,0.0,0.0,0.0
33,"[80, 50, 60]",0.01,0.01,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8540477732673416,0.5,,,0.0,0.0,0.0
34,"[80, 50, 60]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8535276172205275,0.5005141798063624,0.006349206349206348,0.16666666666666666,0.001941747572815534,0.0,0.0
35,"[80, 50, 60]",0.01,0.01,True,True,100,0.95,70,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8540477732673416,0.5,,,0.0,0.0,0.0
36,"[80, 50, 60]",0.01,0.01,False,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8356283817971754,0.4956991954168667,0.02586666666666667,0.23357142857142854,0.015627570261716604,0.0,0.0
37,"[80, 50, 60]",0.01,0.01,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8530206463713513,0.5016663662401484,0.0174930078820239,0.25,0.005438165438165438,0.0,0.0
38,"[80, 50, 60]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8470322592341708,0.5052096194854488,0.04850101115314097,0.4524509803921569,0.022629141961370232,0.0,0.0
39,"[80, 50, 60]",0.01,0.01,False,True,100,0.95,70,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8496264468694221,0.5037023878198653,0.034482758620689655,0.22348484848484848,0.01540280857354028,0.0,0.0
40,"[80, 50, 60]",0.01,0.001,True,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.839769852375231,0.5205150254138935,0.098817555161076,0.3841864936313386,0.06909518846056853,0.0,0.0
41,"[80, 50, 60]",0.01,0.001,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8424563363939473,0.5146318652241904,0.08027302005562875,0.26867024448419796,0.051932533173357234,0.0,0.0
42,"[80, 50, 60]",0.01,0.001,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8322275896964273,0.5277105729683773,0.13006913807467257,0.26862768079287724,0.09745057805678219,0.0,0.0
43,"[80, 50, 60]",0.01,0.001,True,True,100,0.95,70,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8361287600475327,0.5335911025486256,0.14372238943301685,0.2534586760673717,0.10759984404786678,0.0,0.0
44,"[80, 50, 60]",0.01,0.001,False,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7806009483453401,0.563446854347024,0.2557514284398913,0.2702483324784276,0.2580041979852541,0.0,0.0
45,"[80, 50, 60]",0.01,0.001,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.773173726515927,0.5700449766085123,0.23901442779898577,0.2548216267764792,0.2809427070047482,0.0,0.0
