,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall,train_nan_percent,val_nan_percent
0,"[40, 40]",0.01,0.01,True,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5616661377900007,0.5611109475652741,0.5967794238681685,0.5636461624860992,0.6442552406933055,0.0,0.0
1,"[40, 40]",0.01,0.01,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.552349975319089,0.5527076746040394,0.5782957239805756,0.563077926468684,0.6092437756977895,0.0,0.0
2,"[40, 40]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5574783160566955,0.5564944317395623,0.5864864802888107,0.5615598372939449,0.620969664749569,0.0,0.0
3,"[40, 40]",0.01,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5546594034271208,0.5530893951110192,0.5827731822736085,0.5559662477038245,0.6231803235258845,0.0,0.0
4,"[40, 40]",0.01,0.01,False,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5653814963683803,0.5677144797222063,0.5452627247422298,0.5868709915758117,0.5228676987847642,0.0,0.0
5,"[40, 40]",0.01,0.01,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5567043932021719,0.5573503732339422,0.5236270855603232,0.5759455803012888,0.48665155900668927,0.0,0.0
6,"[40, 40]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5356277766024963,0.5374019021202094,0.5540644440630185,0.5482379085437394,0.5846074603916177,0.0,0.0
7,"[40, 40]",0.01,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.573460968902052,0.5712502864075316,0.5905485859126977,0.5789578708655598,0.6055330909663711,0.0,0.0
8,"[40, 40]",0.01,0.001,True,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5680117763204288,0.564971396903647,0.6175070829998246,0.5632815600288005,0.685635192971716,0.0,0.0
9,"[40, 40]",0.01,0.001,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5825444256399408,0.5800579298485319,0.6389168906298363,0.5717444855639483,0.7276837129043402,0.0,0.0
10,"[40, 40]",0.01,0.001,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5447553063958819,0.5436472798063012,0.5916598416125777,0.5478672622473988,0.6740449864585962,0.0,0.0
11,"[40, 40]",0.01,0.001,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5618327339397785,0.5616948635410066,0.585599786112717,0.5698714752019912,0.6242679318436894,0.0,0.0
12,"[40, 40]",0.01,0.001,False,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5407437768845639,0.537941957659533,0.5639228629548818,0.5436806147910074,0.6006731321723346,0.0,0.0
13,"[40, 40]",0.01,0.001,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5401584867075664,0.5358993251730773,0.6071822832240794,0.5375209651733435,0.7015105869970304,0.0,0.0
14,"[40, 40]",0.01,0.001,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5252265355052536,0.5287739858214373,0.508152896210617,0.5445896217706185,0.48986363725863996,0.0,0.0
15,"[40, 40]",0.01,0.001,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5324122064734504,0.5299640422393948,0.5001955746457408,0.5540199965426902,0.4768890392494859,0.0,0.0
16,"[40, 40]",0.0001,0.01,True,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5683863972921515,0.5703675649298713,0.589392476797847,0.5807736696332789,0.6226389358765754,0.0,0.0
17,"[40, 40]",0.0001,0.01,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5529132289683379,0.554803751875631,0.5354274486891442,0.5736999351642197,0.5117367185947728,0.0,0.0
18,"[40, 40]",0.0001,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5518651717086241,0.5533441537031275,0.5796982374191064,0.5571852211312935,0.6217228102395567,0.0,0.0
19,"[40, 40]",0.0001,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5476747055919893,0.5488852476143272,0.5624204682338247,0.5635107645977211,0.5787340890743335,0.0,0.0
20,"[40, 40]",0.0001,0.01,False,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5479735209082575,0.5485676529476107,0.5713889429045722,0.5572201884371871,0.5963853491498361,0.0,0.0
21,"[40, 40]",0.0001,0.01,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5437610182638742,0.5434578724100056,0.5502339030594102,0.5522585107109214,0.5518522993536286,0.0,0.0
22,"[40, 40]",0.0001,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5377265355052535,0.5392154511108276,0.5290954821790684,0.5574944647998881,0.5084368404942567,0.0,0.0
23,"[40, 40]",0.0001,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.527403744446795,0.5252623460977889,0.5710537808328386,0.5335246485208228,0.6181359044995409,0.0,0.0
24,"[40, 40]",0.0001,0.001,True,True,100,0.95,100,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5559084338198998,0.5509726818401528,0.6284688389116853,0.5490031069233678,0.7375726071632505,0.0,0.0
25,"[40, 40]",0.0001,0.001,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5525262675410761,0.5538516726366651,0.5855877167894442,0.5626562439644497,0.630666401745615,0.0,0.0
