,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall,train_nan_percent,val_nan_percent
0,"[300, 200, 100]",0.01,0.01,True,True,100,0.95,600,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7926874318823092,0.5956480476339119,0.4424586621088467,0.99176924871808,0.19199673025113367,0.0,0.0
1,"[300, 200, 100]",0.01,0.01,True,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7561118805273894,0.5223036181024365,0.0797291702068995,0.9955911823647294,0.04485752061898004,0.0,0.0
2,"[300, 200, 100]",0.01,0.01,True,True,100,0.95,500,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7823241408737942,0.57393939686005,0.22630815667210263,1.0,0.1478787937200999,0.0,0.0
3,"[300, 200, 100]",0.01,0.01,False,True,100,0.95,600,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.911179962767223,0.8387400616168895,0.7963021881263137,0.9459395777981612,0.6911094609105328,0.0,0.0
4,"[300, 200, 100]",0.01,0.01,False,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9035042096356891,0.8196208617265862,0.7710328526212922,0.9617055333625117,0.6479215830788021,0.0,0.0
5,"[300, 200, 100]",0.01,0.01,False,True,100,0.95,500,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8993389857140667,0.8150278715855513,0.7550115136953085,0.9480050795776455,0.6427521526967007,0.0,0.0
6,"[300, 200, 100]",0.01,0.001,True,True,100,0.95,600,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8777910309313939,0.7694881611317798,0.6898657274897275,0.9529817432660099,0.5482292666296812,0.0,0.0
7,"[300, 200, 100]",0.01,0.001,True,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8691960719520481,0.7530437783814674,0.6657618558257241,0.9462178246887427,0.5160428984705137,0.0,0.0
8,"[300, 200, 100]",0.01,0.001,True,True,100,0.95,500,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.891317578228007,0.7991022159935831,0.7394391315220857,0.9445883841843046,0.6106721009969263,0.0,0.0
9,"[300, 200, 100]",0.01,0.001,False,True,100,0.95,600,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9527008445053866,0.9431268027543354,0.9093202040580888,0.8973688424669678,0.9236277289011952,0.0,0.0
