,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall
0,"[1024, 256]",0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6159060587362599,0.6180025312702608,0.630760001911052,0.6121008464294257,0.6883977912567927
1,"[1024, 256]",0.01,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.633325884146051,0.6331152668084205,0.6994686618220906,0.593019149566923,0.8529976844197265
2,"[1024, 256]",0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6519667222258436,0.651780744122892,0.669307719696438,0.6385948528536703,0.7074673124308297
3,"[1024, 256]",0.01,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6852469867817332,0.6852657936203729,0.7121481095279906,0.6562000826870383,0.7812086956438251
4,"[1024, 256]",0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7139637075218271,0.7138312985078784,0.7147138751364588,0.7130135103043399,0.7218943422090668
5,"[1024, 256]",0.01,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7234814765691615,0.7237398374925872,0.7400936548575062,0.6968904758760136,0.7938350666692944
6,"[1024, 256]",0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7941609754592829,0.7940996371673197,0.7988763190156707,0.7805258856580949,0.8185639179272132
7,"[1024, 256]",0.01,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8251359602456778,0.8252816376095581,0.8338786746830584,0.7947356403812679,0.8781372488808934
8,"[1024, 256]",0.01,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6846373860465371,0.6843947047503862,0.7076955645395762,0.6619160035219935,0.7673412514979459
9,"[1024, 256]",0.01,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6883357801822501,0.6882077614121918,0.723130955177453,0.6539672366642894,0.8151656450867891
10,"[1024, 256]",0.01,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7776519570530612,0.777966510019391,0.7782036637113484,0.7761937632253225,0.7820888260442608
11,"[1024, 256]",0.01,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8056741299096126,0.8057240331337219,0.8193275196780843,0.7664402104800679,0.8822718270321224
12,"[1024, 256]",0.0001,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6741761989693331,0.6740992424442702,0.7201221391012006,0.6319887439703888,0.8424002821905232
13,"[1024, 256]",0.0001,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7168338646028298,0.7172998113249618,0.7529297977525633,0.6700728171444862,0.8622571869877502
14,"[1024, 256]",0.0001,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7789139009475686,0.7786979068615663,0.7859740161776869,0.7658257789600448,0.8095440334582913
15,"[1024, 256]",0.0001,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.812320977776109,0.8121288241185785,0.8261367893768838,0.774674185040762,0.8862726403115614
16,"[1024, 256]",0.0001,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7247383264647675,0.7242465657899733,0.7218919807242951,0.7283806605983463,0.7231347765715781
17,"[1024, 256]",0.0001,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7444172083206888,0.744500343801969,0.7699738085037333,0.7002220463711895,0.8557694655134218
18,"[1024, 256]",0.0001,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8385181689262483,0.8383726684551268,0.8394086304070617,0.8337617051864591,0.8453044823145859
19,"[1024, 256]",0.0001,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8787018773932951,0.8787837846873737,0.8831320777837265,0.8519281235051614,0.9170808207674945
20,"[1024, 256]",0.0001,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6880703545394937,0.68746460455452,0.6998620961996852,0.6760732488727728,0.7286565970818698
21,"[1024, 256]",0.0001,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6911121039168229,0.6907703612645748,0.7245074293213762,0.6538183472491601,0.8131275104638614
22,"[1024, 256]",0.0001,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7826507359083246,0.7828409959271019,0.7827449721805827,0.7820046484866585,0.7849845024070019
23,"[1024, 256]",0.0001,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8131455641316065,0.8133057454130755,0.8258665753167238,0.7742106730223709,0.8864540925591605
24,"[500, 50]",0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5795488584772961,0.5817773637897776,0.505803483897551,0.618566114283596,0.570779454813507
25,"[500, 50]",0.01,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5796265608272051,0.5814651504393047,0.6861180948114843,0.564669187745828,0.6999743835434511
26,"[500, 50]",0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6199068760400837,0.6200393467280568,0.6381665759782622,0.6141851424289954,0.69327082806061
27,"[500, 50]",0.01,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6645230144512032,0.6644834128878394,0.7152352097694736,0.6215660715071227,0.8424037835529866
28,"[500, 50]",0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6944559651623303,0.6935734361596693,0.7089749630122634,0.6791323794839966,0.754540976883147
29,"[500, 50]",0.01,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7017567409877962,0.7020076703712308,0.736970859408921,0.6602737495458995,0.8356586286847246
30,"[500, 50]",0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8277422481835884,0.827380619477827,0.8312814035806989,0.813406371269451,0.8515564094749088
31,"[500, 50]",0.01,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8563701729761661,0.8563014247326193,0.8632307204013067,0.8246712672114358,0.9058409282001414
32,"[500, 50]",0.01,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6124787502420828,0.6126238826444615,0.6094423691995405,0.6164561749746796,0.6265992719989051
33,"[500, 50]",0.01,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6242078525125064,0.6248422072791359,0.6389156052266733,0.6209298120380246,0.6788253719879631
34,"[500, 50]",0.01,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7210460451277363,0.7208329247842638,0.7224728526312277,0.7181602947744972,0.7276154809511921
35,"[500, 50]",0.01,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7398136954801797,0.7398255458435544,0.7498429404730163,0.7218539150296568,0.7802800073596362
36,"[500, 50]",0.0001,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.621771373971307,0.6202713364560354,0.628878126589251,0.6208303242835655,0.7413768164511703
37,"[500, 50]",0.0001,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6550563929261712,0.6551141091214372,0.7304906907490322,0.5999621857799882,0.9342055537852243
38,"[500, 50]",0.0001,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6779965660787406,0.680100389935498,0.6952310303217385,0.7570597686348322,0.5570486575266627
39,"[500, 50]",0.0001,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7046703196927677,0.7028303090099908,0.7423853573159136,0.7648018601792582,0.6088133909916591
40,"[500, 50]",0.0001,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6994961280420017,0.699325067659273,0.7192378036255258,0.6747870895242228,0.7702270415152653
41,"[500, 50]",0.0001,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7131809579906401,0.7133595892891991,0.737613130820686,0.6804240673818184,0.8071738174673383
42,"[500, 50]",0.0001,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8507261259600656,0.8506415629938887,0.8528940326367136,0.8407026104598405,0.8670731732199917
43,"[500, 50]",0.0001,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8826559053738764,0.8826869161884069,0.8885312732719349,0.8468517448279191,0.934969494472675
44,"[500, 50]",0.0001,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5984009748781898,0.5988195414833288,0.5841889096958063,0.6107138173240417,0.6059977950053013
45,"[500, 50]",0.0001,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6286357261575617,0.6291563872558221,0.6517119596343713,0.6179317306942826,0.7093863874989562
