,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall
0,"[50, 50]",0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.872590277895714,0.49640630630630633,0.06451612903225805,0.0660377358490566,0.012612612612612612
1,"[50, 50]",0.01,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8893319520631309,0.5028700346466843,0.06015037593984962,0.5714285714285714,0.006349206349206349
2,"[50, 50]",0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8514028222229231,0.5990686687083067,0.23448729323974493,0.4574741648642154,0.2768829472884693
3,"[50, 50]",0.01,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8862716460325277,0.5064927961805681,0.04162382763994918,0.29720133667502086,0.018441675792283934
4,"[50, 50]",0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8891519340613308,0.5,,,0.0
5,"[50, 50]",0.01,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8882528144997789,0.5035968494203258,0.04420368364030336,0.35416666666666663,0.009429310982373967
6,"[50, 50]",0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7548591516833625,0.5889092250323765,0.17108451699547875,0.2515060486095459,0.37261587002604013
7,"[50, 50]",0.01,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8846521309812921,0.5166216530927574,0.07389174784132768,0.2573070607553366,0.0437704418931283
8,"[50, 50]",0.01,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8887922215402133,0.5004464809440015,0.007352941176470588,0.16666666666666666,0.0015037593984962405
9,"[50, 50]",0.01,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8866316820361282,0.5036003555344535,0.03457311404766248,0.36349206349206353,0.011456569351306192
10,"[50, 50]",0.01,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8749327762964976,0.5135224073218764,0.07861643901966482,0.22606871727415018,0.049057857553780074
11,"[50, 50]",0.01,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7115556838702738,0.5827598465489424,0.18652400158695298,0.18244073894602267,0.41869794053406173
12,"[50, 50]",0.0001,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8891519340613308,0.5,,,0.0
13,"[50, 50]",0.0001,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8893316285806477,0.5007518796992481,0.014925373134328356,1.0,0.0015037593984962405
14,"[50, 50]",0.0001,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8824945028195541,0.5118997214299094,0.06050864268862246,0.20372670807453414,0.03598731095321593
15,"[50, 50]",0.0001,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8094036357813679,0.5634864135207078,0.1426754097822855,0.3628267973856209,0.24827370162892998
16,"[50, 50]",0.0001,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8875314485626461,0.5074205296243837,0.043641557342361414,0.35347985347985345,0.019088705369982334
17,"[50, 50]",0.0001,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.887531772045129,0.5014996570174235,0.024193548387096774,0.11538461538461539,0.005405405405405406
18,"[50, 50]",0.0001,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8815927953981382,0.5244857128436287,0.10759516102475106,0.3933090301511354,0.06554289843693947
19,"[50, 50]",0.0001,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8801545922786349,0.519009193692922,0.0903705742065676,0.31588992088063295,0.05504518307407338
20,"[50, 50]",0.0001,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8711824821296146,0.4910955961331901,0.016877637130801686,0.019230769230769232,0.003007518796992481
21,"[50, 50]",0.0001,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.888432185536613,0.5002477980665951,0.007352941176470588,0.16666666666666666,0.0015037593984962405
22,"[50, 50]",0.0001,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8765539087601482,0.5155511140657795,0.08449112759892714,0.23729086229086233,0.05174890122147212
23,"[50, 50]",0.0001,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8639562069414488,0.5093698301885032,0.07652929199006615,0.19148268398268398,0.05375973521065229
24,"[40, 40]",0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8880718260505296,0.5044232458684877,0.09859154929577466,0.35,0.011475409836065573
25,"[40, 40]",0.01,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8891519340613308,0.5006498388829216,0.014814814814814812,0.5,0.0015037593984962405
26,"[40, 40]",0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8767326328320164,0.5440002384167231,0.10545289397991622,0.21766107823800135,0.11487131079660791
27,"[40, 40]",0.01,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8864523109992939,0.5156979689062215,0.0842182898475846,0.3963585434173669,0.039514947248254606
28,"[40, 40]",0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8891519340613308,0.5,,,0.0
29,"[40, 40]",0.01,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8871717360415288,0.5031157228817588,0.04438257451686865,0.3080357142857143,0.009679937548790008
30,"[40, 40]",0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8778130643253004,0.5438110614787748,0.13616282601357227,0.3129560616517138,0.11475328642519492
31,"[40, 40]",0.01,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8787134778167843,0.5192727574351703,0.09225097357168208,0.2911111111111111,0.057601047845697015
32,"[40, 40]",0.01,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8641294318111056,0.49864235338866914,0.05811882598784194,0.21165158371040724,0.028820967980143018
33,"[40, 40]",0.01,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8648495038183064,0.5059272275043198,0.1136761622888149,0.17134478424801006,0.04390784226849801
34,"[40, 40]",0.01,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8787141247817505,0.5172982378511665,0.0855553007151687,0.2611225154773542,0.05278074761082916
35,"[40, 40]",0.01,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8785341067799501,0.5222168049829145,0.10486412821309969,0.2831634282065317,0.0644808235709736
36,"[40, 40]",0.0001,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8891519340613308,0.5,,,0.0
37,"[40, 40]",0.0001,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8891519340613308,0.5,,,0.0
38,"[40, 40]",0.0001,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8817750777773196,0.5247326078724122,0.12841871769141694,0.3333205154498222,0.06608795309983764
39,"[40, 40]",0.0001,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6986967699465364,0.6361046527303142,0.22538208769630885,0.2087428675100314,0.5564898210337827
40,"[40, 40]",0.0001,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8265056694348681,0.5343314679436506,0.1682769726247987,0.28872549019607846,0.15568425568425567
41,"[40, 40]",0.0001,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8266169474090267,0.537785976678626,0.13001265765375752,0.30002986857825564,0.16942389202958658
42,"[40, 40]",0.0001,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7620621361327506,0.5999706038282728,0.18570499885276923,0.23512182134743295,0.39140944521417126
43,"[40, 40]",0.0001,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8221168208465052,0.5469475863883363,0.11319059432682929,0.23293805309734514,0.19600986258004266
44,"[40, 40]",0.0001,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8864561927890902,0.4984703163368482,0.0,0.0,0.0
45,"[40, 40]",0.0001,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8884318620541298,0.49960000000000004,0.0,0.0,0.0
46,"[40, 40]",0.0001,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8391273089573108,0.521402230921999,0.10685062815061308,0.26270970575318403,0.11356971317866416
47,"[40, 40]",0.0001,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7022063931460532,0.5611841939615546,0.16869631407763955,0.1856435773516664,0.37732391361632367
