,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall
0,"[1024, 256]",0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5197452229299364,0.5,0.6838767489698371,0.5197452229299364,1.0
1,"[1024, 256]",0.01,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5197452229299364,0.5,0.6838767489698371,0.5197452229299364,1.0
2,"[1024, 256]",0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5316348195329088,0.5283341981337528,0.5023743568068672,0.565900516251916,0.5390131477048162
3,"[1024, 256]",0.01,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5329087048832272,0.539180142268045,0.5247340687813618,0.57992488454341,0.5116938928515495
4,"[1024, 256]",0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5193205944798301,0.5128494005324826,0.5907831439069217,0.5371122527853605,0.5489237368535684
5,"[1024, 256]",0.01,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.4951167728237792,0.5012999741313339,0.5134065106021757,0.5291334468559953,0.43778045493928114
6,"[1024, 256]",0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5205944798301486,0.5133342528416113,0.5695493374708842,0.5282804963372942,0.6323944590811508
7,"[1024, 256]",0.01,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5256900212314225,0.5173073359590887,0.6090381827365413,0.5299646813497259,0.7380239055495877
8,"[1024, 256]",0.01,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5112526539278132,0.5128903374035602,0.47827730152735326,0.5353642824555479,0.4824390860964079
9,"[1024, 256]",0.01,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5324840764331211,0.5193550469142338,0.6567272964970735,0.5321190051636531,0.871766873709204
