,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall,train_nan_percent,val_nan_percent
0,"[10, 15, 10]",0.01,0.01,True,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7562324180392086,0.756396324155974,0.7714963136083264,0.7267354751764482,0.823905276979661,0.0,0.0
1,"[10, 15, 10]",0.01,0.01,False,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8171851618604,0.8172885208158316,0.8248275760818382,0.7913723601019362,0.8615571320612275,0.0,0.0
2,"[10, 15, 10]",0.01,0.001,True,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6427979675699049,0.6428724530760578,0.599640657240711,0.6784871780953626,0.548661599272098,0.0,0.0
3,"[10, 15, 10]",0.01,0.001,False,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7133134019620763,0.7138150332536021,0.7165365575063188,0.7080836684298482,0.7274081936325166,0.0,0.0
4,"[10, 15, 10]",0.0001,0.01,True,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7642703992723506,0.7645835650348561,0.7830615112920057,0.7255801423766387,0.8543163126244299,0.0,0.0
5,"[10, 15, 10]",0.0001,0.01,False,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8311746223766731,0.8312907212072226,0.841717623262751,0.7922120503012751,0.898021679300727,0.0,0.0
6,"[10, 15, 10]",0.0001,0.001,True,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6308943864037774,0.6307139818689788,0.5511424172252632,0.7009954886895515,0.4556464889673677,0.0,0.0
7,"[10, 15, 10]",0.0001,0.001,False,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7140056009461253,0.7138721013429474,0.7085738438829791,0.7174343752362047,0.7046671205955981,0.0,0.0
8,"[20, 20]",0.01,0.01,True,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7915529612217447,0.7914814223687345,0.8030435693190853,0.7614548576265223,0.8499556639963766,0.0,0.0
9,"[20, 20]",0.01,0.01,False,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8424278130830685,0.842486429183434,0.8497032339825978,0.8118268488905137,0.8914715444788499,0.0,0.0
10,"[20, 20]",0.01,0.001,True,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7190472920254674,0.7191153255350446,0.7135351684695069,0.7271055602771608,0.7018849460976954,0.0,0.0
11,"[20, 20]",0.01,0.001,False,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7532354769855488,0.7533660681258931,0.7643959712989243,0.7316021237827025,0.8006503661002646,0.0,0.0
12,"[20, 20]",0.0001,0.01,True,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8102336834262689,0.8102768647189829,0.8204451447050545,0.7787942464628077,0.8672860108494305,0.0,0.0
13,"[20, 20]",0.0001,0.01,False,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8674079535623515,0.8674297695354272,0.8727729455065127,0.8385236536658297,0.9101386161990769,0.0,0.0
14,"[20, 20]",0.0001,0.001,True,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7253446727006656,0.7254390074199145,0.7216397016867667,0.7312806596621447,0.7136205933613831,0.0,0.0
15,"[20, 20]",0.0001,0.001,False,True,100,0.95,400,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7541502176882697,0.7541006913386552,0.7629434342438179,0.7364648291573322,0.7914567025444658,0.0,0.0
