,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall,train_nan_percent,val_nan_percent
0,"[10, 10]",0.01,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8416317194052612,0.5598224232283129,0.21639278085757535,0.40888748714289924,0.16438626414609617,0.0,0.0
1,"[10, 10]",0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8362656448054846,0.5493105846479558,0.2109169478709866,0.48665712771595115,0.14747732026630347,0.0,0.0
2,"[10, 10]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8495306151043855,0.5603738503978237,0.22358900300759296,0.45734301013859147,0.15482386805686316,0.0,0.0
3,"[10, 10]",0.01,0.01,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8210915276107803,0.5458944215639754,0.1957321196084772,0.39041556623098506,0.1586705114562761,0.0,0.0
4,"[10, 10]",0.01,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7647017996617691,0.543100776769311,0.21209211295546818,0.2569126104553668,0.23333631837310223,0.0,0.0
5,"[10, 10]",0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7949838867871655,0.575877298985827,0.2754603095708268,0.30813986164372903,0.26959118092260353,0.0,0.0
6,"[10, 10]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8223988321586491,0.5443906190014752,0.19876759632486318,0.31396518970227416,0.1554373849591947,0.0,0.0
7,"[10, 10]",0.01,0.01,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7854388040053308,0.5672662420027278,0.24693558345006855,0.30073810938121814,0.2601817152082303,0.0,0.0
8,"[10, 10]",0.01,0.001,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7786816817697488,0.5145361956873387,0.1632712597064621,0.2037994213108653,0.14546345479306885,0.0,0.0
9,"[10, 10]",0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8099787872567132,0.5517643693442171,0.21868848986744788,0.26793571344200334,0.18981332188946448,0.0,0.0
