,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall,train_nan_percent,val_nan_percent
0,"[100, 100]",0.01,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8943688662392543,0.8524087960869258,0.7865117090064212,0.8076245833046503,0.7670209072936081,0.0,0.0
1,"[100, 100]",0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9122119483688949,0.8735651586576869,0.8211904054648322,0.853782194585896,0.7950884138858918,0.0,0.0
2,"[100, 100]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9247547656011783,0.8984969547695817,0.850752208626728,0.8579852024823094,0.845100557426399,0.0,0.0
3,"[100, 100]",0.01,0.01,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9255336402109954,0.8998211594159052,0.8525239501387937,0.8600985365358806,0.8475333132890537,0.0,0.0
4,"[100, 100]",0.01,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9184073452154242,0.8835939438048193,0.8317333853071813,0.853239136342849,0.81313274982869,0.0,0.0
5,"[100, 100]",0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9358097730940595,0.9080925423315265,0.8709962185948708,0.8935931551230482,0.8517925881239365,0.0,0.0
6,"[100, 100]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9443403670183953,0.9156435006400546,0.8857947716824597,0.917719290550556,0.8572848615054856,0.0,0.0
7,"[100, 100]",0.01,0.01,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9353207955097318,0.9140820713700339,0.8737512659763095,0.8793964790952981,0.8708973973776036,0.0,0.0
8,"[100, 100]",0.01,0.001,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9429691297642939,0.9154128303963622,0.8841949417884619,0.911083785629123,0.8594119448410105,0.0,0.0
9,"[100, 100]",0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9540232663083803,0.9313543945222911,0.9073710957618613,0.9312692655078981,0.885260161396932,0.0,0.0
10,"[100, 100]",0.01,0.001,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9551411863863942,0.9364805990668177,0.9104996244442338,0.9232466500601063,0.8985752841893335,0.0,0.0
11,"[100, 100]",0.01,0.001,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9535323806585995,0.9369019155206549,0.9079778828759032,0.9137498478597316,0.903016081211452,0.0,0.0
12,"[100, 100]",0.01,0.001,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9442398984909179,0.9187604821161492,0.8873340056483008,0.9110310962636783,0.8669972758881931,0.0,0.0
13,"[100, 100]",0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.958357434119528,0.9391287632847561,0.9165047651603622,0.9338563824532171,0.9000364014879926,0.0,0.0
14,"[100, 100]",0.01,0.001,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9641803055385783,0.9489403389867718,0.9287312078859371,0.9407832240885249,0.9179352247520123,0.0,0.0
15,"[100, 100]",0.01,0.001,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9569185722754134,0.9471480603270989,0.9163542940034572,0.9064089489902131,0.9272746766545321,0.0,0.0
16,"[100, 100]",0.0001,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9071834424153726,0.8570167123677713,0.8046883098694317,0.8617033378659127,0.7551103660697039,0.0,0.0
17,"[100, 100]",0.0001,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.924332077534039,0.8846397951837128,0.843611310296632,0.887774160089624,0.8040016474921104,0.0,0.0
18,"[100, 100]",0.0001,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9339977669904276,0.9044075341824087,0.8666162971355267,0.8928066198416417,0.8444249030023254,0.0,0.0
19,"[100, 100]",0.0001,0.01,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9306979167678356,0.904023256634165,0.8615940477331023,0.8764286919265688,0.8496827839205151,0.0,0.0
20,"[100, 100]",0.0001,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9105185603342472,0.8709555359992928,0.8154451925247921,0.8525972122548072,0.7903504039034454,0.0,0.0
21,"[100, 100]",0.0001,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9369932206090666,0.9209326771086905,0.8776178720794627,0.8686534566711149,0.8882705214216762,0.0,0.0
22,"[100, 100]",0.0001,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9346085083732703,0.9082608714371254,0.8685929395629601,0.8841326003666218,0.8547150719972058,0.0,0.0
23,"[100, 100]",0.0001,0.01,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9444076936522414,0.9211864773968073,0.8886172930992426,0.9051505948362066,0.8738786789070667,0.0,0.0
24,"[100, 100]",0.0001,0.001,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9439855270083942,0.9212561823172191,0.8881471963032921,0.9018478686400014,0.8750587242702949,0.0,0.0
25,"[100, 100]",0.0001,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9570201466786641,0.9365922835138656,0.9136220585077378,0.9332546539568055,0.8950788101214376,0.0,0.0
26,"[100, 100]",0.0001,0.001,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9570877196993404,0.9343374375876282,0.9130834042839536,0.9397521215686417,0.8881426896697668,0.0,0.0
27,"[100, 100]",0.0001,0.001,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9609136201293229,0.9418422806831586,0.9215066556380649,0.9409383555384417,0.9031076806765777,0.0,0.0
28,"[100, 100]",0.0001,0.001,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9454934974934295,0.9152151675514913,0.8879515896267269,0.9264141842807785,0.8537275838984737,0.0,0.0
29,"[100, 100]",0.0001,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9496899350664698,0.9335967361121777,0.9011195754525051,0.9031843075277305,0.9009491000512346,0.0,0.0
30,"[100, 100]",0.0001,0.001,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9562922311682606,0.9336015264325972,0.9115895009945811,0.937457650453949,0.887479236056345,0.0,0.0
31,"[100, 100]",0.0001,0.001,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9597622143621003,0.9417371019475131,0.9195038164795932,0.9348456663598139,0.9051192827543728,0.0,0.0
32,"[100, 50]",0.01,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9099270170694218,0.8792225126555812,0.8214407724784296,0.8313118000721753,0.8166248311958781,0.0,0.0
33,"[100, 50]",0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9100280070201912,0.878798169521478,0.8214942154288225,0.8287049188217148,0.8152895427208892,0.0,0.0
34,"[100, 50]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9121789554533472,0.875734859614982,0.8223665317864566,0.8507765301074404,0.8014344678286565,0.0,0.0
35,"[100, 50]",0.01,0.01,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9244674814220749,0.9000149640401285,0.85113164932337,0.8533359023456193,0.8503597424431325,0.0,0.0
36,"[100, 50]",0.01,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9221972044090752,0.9036403511808112,0.8501310078447221,0.839300897433608,0.8661621826342643,0.0,0.0
37,"[100, 50]",0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9414637549358659,0.9150555537238164,0.8820218045100414,0.9044307428723638,0.8613426311163233,0.0,0.0
38,"[100, 50]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9403120913219606,0.9225524908319009,0.8832550439439626,0.8806555908432732,0.8864233862736504,0.0,0.0
39,"[100, 50]",0.01,0.01,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9494361652262061,0.9318637882933751,0.9001183194616857,0.9071856981316617,0.8963246444729827,0.0,0.0
40,"[100, 50]",0.01,0.001,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.945035312532956,0.9212706472015266,0.8895188547102354,0.9081026459345974,0.8730109943964397,0.0,0.0
41,"[100, 50]",0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9461860708185081,0.9288994376382839,0.8939524091636455,0.8947694541871934,0.893739429536492,0.0,0.0
42,"[100, 50]",0.01,0.001,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9483023818472727,0.9250671917798934,0.8960332214307177,0.9165542586297315,0.8778583875118621,0.0,0.0
43,"[100, 50]",0.01,0.001,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9482682486763941,0.9292458271308934,0.8973230471438415,0.9044755311322991,0.8905802658095745,0.0,0.0
44,"[100, 50]",0.01,0.001,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9421910057748203,0.9175496404845915,0.884034371054853,0.9016702697858783,0.8674936356830172,0.0,0.0
45,"[100, 50]",0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9482518181127727,0.9325785250375755,0.8983595405092505,0.896336559916246,0.9006983845759559,0.0,0.0
46,"[100, 50]",0.01,0.001,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9564613155629983,0.9443792612994611,0.9155264862304258,0.9142697623700269,0.9198147180620462,0.0,0.0
47,"[100, 50]",0.01,0.001,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9604895396900964,0.9448588849412832,0.9218481799003326,0.9321104409614369,0.9130293161713426,0.0,0.0
48,"[100, 50]",0.0001,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9008887745959593,0.874478180252396,0.8089791793836199,0.8021267958296256,0.8206962399484189,0.0,0.0
49,"[100, 50]",0.0001,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9046950357036005,0.8699377233595047,0.8064656819567453,0.8195913610628761,0.7991353166040804,0.0,0.0
50,"[100, 50]",0.0001,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9169170658777933,0.8985605852050931,0.8405274234217386,0.821833126771382,0.8613326915403159,0.0,0.0
