,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall,train_nan_percent,val_nan_percent
0,"[10, 10]",0.01,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8274502865694607,0.5095346913805864,0.08828908007867833,0.2700444793301936,0.06505925993683852,0.0,0.0
1,"[10, 10]",0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.836781851737028,0.5119838930932568,0.07678854514851954,0.18915966386554622,0.058403072899640404,0.0,0.0
2,"[10, 10]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8278992535072499,0.519949289905382,0.1201463193644489,0.3147602304752871,0.08898691753316279,0.0,0.0
3,"[10, 10]",0.01,0.01,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8328758718415272,0.5246390763307167,0.126510292094468,0.27002189381499725,0.09204750188194859,0.0,0.0
4,"[10, 10]",0.01,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7829873019943806,0.5463282633167972,0.21186932284229393,0.3101873877748829,0.2162589174371909,0.0,0.0
5,"[10, 10]",0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8070260241753925,0.5409499181197693,0.1906715616455865,0.23595001968933693,0.16918674478377835,0.0,0.0
6,"[10, 10]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7634015657032112,0.5484607256558086,0.21926272363295127,0.212119762594071,0.24727492434716628,0.0,0.0
7,"[10, 10]",0.01,0.01,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7237749581629689,0.5819878416008681,0.2781052057449955,0.23360197205748562,0.38558192669547825,0.0,0.0
8,"[10, 10]",0.01,0.001,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7549536505751678,0.47494032103604766,0.0925409656831736,0.1216219178015403,0.08257432632238755,0.0,0.0
9,"[10, 10]",0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7828470606949411,0.5051193580823898,0.1299269610950585,0.1584937645362238,0.11538505267956486,0.0,0.0
10,"[10, 10]",0.01,0.001,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7974529323254572,0.5174939569371528,0.14915898094225027,0.19161986101666337,0.12558253161823588,0.0,0.0
11,"[10, 10]",0.01,0.001,True,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.789055010623603,0.4885074399898304,0.07762043242159186,0.10343480363575552,0.06650238250192693,0.0,0.0
12,"[10, 10]",0.01,0.001,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7332668918535064,0.5385249907149876,0.208537816658842,0.21094201970003007,0.2650819485890634,0.0,0.0
13,"[10, 10]",0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8013650802410721,0.5253461201756802,0.15823668388701664,0.19017006197689829,0.13972443684000588,0.0,0.0
14,"[10, 10]",0.01,0.001,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7595095450111268,0.5461422659014203,0.20197428834567713,0.2245728221887641,0.2453079626669386,0.0,0.0
15,"[10, 10]",0.01,0.001,False,True,100,0.95,90,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7459541845958567,0.5552117208363256,0.23000657696225152,0.21382236221179157,0.28550631375007124,0.0,0.0
16,"[10, 10]",0.0001,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8361942666629874,0.5328845114979697,0.14779996362975087,0.36306191009438493,0.1093400379688751,0.0,0.0
