,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall,train_nan_percent,val_nan_percent
0,"[10, 10]",0.01,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5371502893242024,0.526751247908361,0.6237503932777514,0.5436623531322582,0.7472068112711098,0.0,0.0
1,"[10, 10]",0.01,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5416361416361417,0.5341579855486316,0.5825354487820327,0.5550539874997851,0.6253584838985077,0.0,0.0
2,"[10, 10]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5350374263417741,0.5315054161865176,0.5643630280949316,0.5481418062880807,0.5917818148259155,0.0,0.0
3,"[10, 10]",0.01,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5342756277538886,0.5257117683726291,0.5953179755698859,0.5391792077523723,0.6709013052234047,0.0,0.0
4,"[10, 10]",0.01,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5194776238254499,0.5112078320329732,0.5972181408206004,0.5264847980835662,0.7025386804069216,0.0,0.0
5,"[10, 10]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5417688591601635,0.5385143527329449,0.5949586449407445,0.5525469383089225,0.6616051561786092,0.0,0.0
6,"[10, 10]",0.0001,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5227106227106227,0.5180340619962561,0.5917441112510675,0.5330845602943917,0.6837241457293157,0.0,0.0
7,"[10, 10]",0.0001,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5161119074162552,0.5125136985383277,0.5602831813967317,0.5298003236418591,0.605769725901752,0.0,0.0
8,"[10, 10]",0.0001,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5464033550990074,0.5392007759950915,0.6137701724174034,0.5511438015231601,0.7141801842619971,0.0,0.0
9,"[10, 10]",0.0001,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5343287147634974,0.5345934237230724,0.5611644865289962,0.5549842773014585,0.5807941062296168,0.0,0.0
10,"[10, 10]",0.0001,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5243403939056113,0.5256664180368598,0.52344311579465,0.5463321449238986,0.5115725736369302,0.0,0.0
11,"[10, 10]",0.0001,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5477783086478739,0.5423203019297056,0.608868618048583,0.5535186819682437,0.6873973904632453,0.0,0.0
