,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall,train_nan_percent,val_nan_percent
0,"[10, 10]",0.01,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6899805991931608,0.6900571496308664,0.68680317327468,0.6941869421673095,0.680057638812824,0.0,0.0
1,"[10, 10]",0.01,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7170860314096548,0.7170968076927708,0.7210524640751639,0.7111163857595512,0.7320434214312141,0.0,0.0
2,"[10, 10]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7244309132774608,0.7244463431537811,0.7236493479495307,0.7255575252121718,0.7219401502215732,0.0,0.0
3,"[10, 10]",0.01,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7235199053521751,0.7234431654976314,0.7300513134556568,0.7131377251954736,0.7479425871119815,0.0,0.0
4,"[10, 10]",0.01,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7501028545178783,0.7501585608695381,0.7599365317040677,0.7311520003264607,0.7913611649498382,0.0,0.0
5,"[10, 10]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7693981077029767,0.7694100171518387,0.7740058419280019,0.7583657850375316,0.791119949345978,0.0,0.0
6,"[10, 10]",0.0001,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6883295192136574,0.688232931683697,0.6833934661690351,0.694436031156058,0.6729507134409222,0.0,0.0
7,"[10, 10]",0.0001,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7202199499232512,0.7202071303558084,0.7240118315336159,0.7142179823052848,0.7342422011888863,0.0,0.0
8,"[10, 10]",0.0001,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7268239024195848,0.7267897978198267,0.7268480166334821,0.7266022497283583,0.7275413815744501,0.0,0.0
9,"[10, 10]",0.0001,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7087550839619776,0.7087268710494427,0.7134869185449455,0.701414466309284,0.7278483922293059,0.0,0.0
10,"[10, 10]",0.0001,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7503777518824002,0.7503643508630585,0.7568843232799568,0.737928291109801,0.7774856763968172,0.0,0.0
11,"[10, 10]",0.0001,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7680601275217022,0.7681091160507604,0.7752859897981612,0.7523755588896082,0.8001294407899753,0.0,0.0
12,"[20, 20]",0.01,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7065005845302095,0.7064552435853959,0.706306808247068,0.7056404606526984,0.7090233484612304,0.0,0.0
13,"[20, 20]",0.01,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7432909884557051,0.7433500815288872,0.7502232805496704,0.7306430896473121,0.7716703828612598,0.0,0.0
14,"[20, 20]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7481549637679829,0.7481507545118403,0.7539256451459919,0.7370964383340672,0.7716218721221038,0.0,0.0
15,"[20, 20]",0.01,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7289957508153699,0.7292035635748138,0.7324363210820145,0.7228603361022904,0.7454627389142021,0.0,0.0
16,"[20, 20]",0.01,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.764226054022104,0.7642238345412028,0.7725155190740908,0.746080380583698,0.8011438415097583,0.0,0.0
17,"[20, 20]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7847696553405636,0.7847674907117944,0.7919827932792437,0.7661701247496395,0.8197195298630188,0.0,0.0
18,"[20, 20]",0.0001,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6983604043032805,0.6983262939484759,0.6928254562257883,0.705870911795883,0.6816603552382668,0.0,0.0
19,"[20, 20]",0.0001,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7447686830862704,0.7449054830575438,0.754138391445719,0.72797602163217,0.7830582107959478,0.0,0.0
20,"[20, 20]",0.0001,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7586633934105466,0.7586221891882732,0.7613178692249745,0.7527309961469324,0.7708214991538818,0.0,0.0
21,"[20, 20]",0.0001,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7312977606967521,0.7315587345068104,0.7397825873809643,0.7192607420952013,0.7641018465251543,0.0,0.0
22,"[20, 20]",0.0001,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.770830863835692,0.7708550867111281,0.773830060878351,0.7638579934419589,0.7843448352214053,0.0,0.0
23,"[20, 20]",0.0001,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7937700262480397,0.7938261707271433,0.7996158060891723,0.7778966238314814,0.8231691948876751,0.0,0.0
24,"[10, 15, 10]",0.01,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6635235249267819,0.6634605449074591,0.662033951432662,0.6648746265895238,0.6593351963650173,0.0,0.0
25,"[10, 15, 10]",0.01,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6832028939262087,0.6833110482190949,0.6816897266323919,0.6853561470418532,0.6795326234726382,0.0,0.0
26,"[10, 15, 10]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6937595688617475,0.6936954263618602,0.6909723790045535,0.6971777784528135,0.6853572011638956,0.0,0.0
27,"[10, 15, 10]",0.01,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7203535406778666,0.7203602432640985,0.7284055711473875,0.7083074950156,0.749944536803108,0.0,0.0
28,"[10, 15, 10]",0.01,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7603979817432878,0.7604073835020859,0.7720568856797414,0.7372040217218985,0.8117422521162165,0.0,0.0
29,"[10, 15, 10]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7725203911966896,0.7725676277341772,0.7805845917298984,0.7539469672562623,0.8097693479232063,0.0,0.0
30,"[10, 15, 10]",0.0001,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6674419640968723,0.6673096708632312,0.6623259508635756,0.6719939539909054,0.6540421171403422,0.0,0.0
31,"[10, 15, 10]",0.0001,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6853731501613781,0.6852462385005111,0.6850715993312543,0.6855592418416677,0.6850572797633464,0.0,0.0
32,"[10, 15, 10]",0.0001,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6820728273107738,0.6819803693589648,0.6828577519479297,0.6812295315802444,0.6849402804799802,0.0,0.0
33,"[10, 15, 10]",0.0001,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7281296813879344,0.7281001482972085,0.7369659090344352,0.7136279498020277,0.7639227436052398,0.0,0.0
34,"[10, 15, 10]",0.0001,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7613115616203372,0.7611980724753162,0.7739140812774129,0.7352942149851407,0.8172588825885683,0.0,0.0
35,"[10, 15, 10]",0.0001,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7749994606438151,0.7750139490546546,0.7845816104175951,0.7528260038479214,0.8192777453434456,0.0,0.0
