,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall,train_nan_percent,val_nan_percent
0,"[10, 10]",0.01,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9572463701869843,0.9437475546427446,0.9157681931386625,0.9167718978643198,0.9163464418351808,0.0,0.0
1,"[10, 10]",0.01,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9577581998639122,0.941203114231649,0.915812007897008,0.9252759327542839,0.9074103018657261,0.0,0.0
2,"[10, 10]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9701402057879891,0.9590894115762826,0.9409620946915627,0.9465699834571776,0.936597746007644,0.0,0.0
3,"[10, 10]",0.01,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9712733154537165,0.9606426967448607,0.9434623149655044,0.9485912357881141,0.9388993281001887,0.0,0.0
4,"[10, 10]",0.01,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9788752786205956,0.9733722392675059,0.9585977203097386,0.9552837148575822,0.9622439934794829,0.0,0.0
5,"[10, 10]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9738781765079884,0.9670208838597649,0.9487570720147473,0.944962910912332,0.9532331387043529,0.0,0.0
6,"[10, 10]",0.0001,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9479834613758772,0.9369903922553968,0.9004590912369291,0.8880719814725954,0.9147922342405927,0.0,0.0
7,"[10, 10]",0.0001,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9661132403488534,0.9488468426676997,0.931688543462216,0.9510770069023925,0.9139240252014449,0.0,0.0
8,"[10, 10]",0.0001,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9609857930339138,0.9447666033057984,0.9218329425327625,0.9349759049606444,0.9114416408893898,0.0,0.0
9,"[10, 10]",0.0001,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9609286779488773,0.9542870405366944,0.9244681934937502,0.9090399780610496,0.9408888869844769,0.0,0.0
10,"[10, 10]",0.0001,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9776380621839665,0.969354288010447,0.956044957411924,0.9598491390873507,0.9525037035290058,0.0,0.0
11,"[10, 10]",0.0001,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9756625801239647,0.9680390542998971,0.9519279925814448,0.952458413393197,0.9526165465164806,0.0,0.0
12,"[20, 20]",0.01,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9701594239368116,0.9598102442445307,0.9410055955528362,0.943838547865157,0.9387296265609255,0.0,0.0
13,"[20, 20]",0.01,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9738855616106624,0.9710472769027672,0.9497622030752322,0.9357000304754575,0.9652414196758263,0.0,0.0
14,"[20, 20]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9824799583950613,0.9745367719725847,0.9652807091536909,0.9723934754243853,0.9584278611153081,0.0,0.0
15,"[20, 20]",0.01,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9668916433328469,0.951425790745185,0.9337361768864512,0.9485739703334571,0.9199947007078231,0.0,0.0
16,"[20, 20]",0.01,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9630111209602991,0.9542213599736128,0.9279230064480014,0.920798598767467,0.9362177501413763,0.0,0.0
17,"[20, 20]",0.01,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9775499373933,0.9694365553328617,0.9552574272068485,0.9580286322725658,0.953081696049594,0.0,0.0
18,"[20, 20]",0.0001,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.968176722731499,0.9597421446873886,0.937825521077156,0.9345185530755614,0.942471434860322,0.0,0.0
19,"[20, 20]",0.0001,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9785190368332497,0.9707230310469928,0.9575838961710424,0.960481954611524,0.9549540392014372,0.0,0.0
20,"[20, 20]",0.0001,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9830546701754059,0.9746011736478868,0.9663748163458699,0.9755814922779065,0.9573724864617066,0.0,0.0
21,"[20, 20]",0.0001,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9744530127563558,0.9651495698353877,0.9493402221188362,0.9537092176066553,0.9460693457302012,0.0,0.0
22,"[20, 20]",0.0001,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9741839415048364,0.9674964934142727,0.9496977760118022,0.9461292846243019,0.9538677502142516,0.0,0.0
23,"[20, 20]",0.0001,0.01,False,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9814964120804885,0.9721272070079096,0.9632517599643309,0.9738679299235826,0.9529950325189525,0.0,0.0
24,"[10, 15, 10]",0.01,0.01,True,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8884876535804851,0.803305104316458,0.7360807622032103,0.9075329914043818,0.6292350914606575,0.0,0.0
25,"[10, 15, 10]",0.01,0.01,True,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8493867324613218,0.7237770787298011,0.6092621658500927,0.8922390713348269,0.46794850127670473,0.0,0.0
26,"[10, 15, 10]",0.01,0.01,True,True,100,0.95,80,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8790958431099746,0.788603176582459,0.7149907274748695,0.882638824618233,0.6050895547797916,0.0,0.0
27,"[10, 15, 10]",0.01,0.01,False,True,100,0.95,30,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9431650152263735,0.9159385496618275,0.8841437456319042,0.9130749775037643,0.8610644073728349,0.0,0.0
28,"[10, 15, 10]",0.01,0.01,False,True,100,0.95,60,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9633502605552067,0.9487385963751954,0.9270462756219094,0.9362203214888278,0.9192184255252039,0.0,0.0
